Dni_Aseg_Anonymized;Asegurado_Id_Anonymized;Poliza_Certificado_Id_Anonymized;Numero_Poliza_Anonymized;Placa_Vehiculo_Anonymized;Edad_Cliente;segmento_edad;Sexo_Cd;Estado_Civil_Desc;Ciudad_Cliente;Departamento_Cliente;Sector_Economico_Cliente;Rango_Ingresos_Cliente;Antiguedad_Cliente_En_CanalDD_Anios;Num_Total_Polizas_Cliente_CanalDD;Fecha_Inicio_Primera_Vigencia;Fecha_Fin_Efectiva_Poliza;Vigencia_Total_Poliza_Meses;Subproducto_Desc;Forma_Pago_Desc;Valor_Accesorios_Certificado;Ultima_Prima_Anualizada_Cert;Clase_Vehiculo_Tarifa;Marca_Vehiculo_Calculada;Linea_Vehiculo_Calculada;Modelo_Vehiculo;Gama_Alta_Calculada;Valor_Comercial_Vehiculo;Valor_Accesorios_Vehiculo_Sia;Valor_Accesorio_Especial_Veh;Ciudad_Ubicacion_Vehiculo;Departamento_Ubicacion_Vehiculo;Tipo_Servicio_Vehiculo_Desc;Prima_Total_Devengada_Certificado;Siniestros_Total_Incurridos_Certificado;Margen_Tecnico_Total_Certificado;Num_Total_Asistencias_Certificado;Costo_Total_Asistencias_Certificado;Margen_Bruto_Total_Certificado;Cliente_Tiene_Soat_Activo;Cliente_Tiene_Hogar_Activo;Cliente_Tiene_MasVida_Activo;Cliente_Tiene_Salud_Activo;Cliente_Tiene_Vida_Activo;Nombre_Agente_Anonymized
84-3E-D3-21;C2-8D-91-FF;BA-CB-E5-4A;07-81-C1-6D;E6-0C-BD-DC;24;Joven;F;SOLTERO(A);CALI;VALLE DEL CAUCA;HOTELES Y RESTAURANTES HOTELES, RESTAURANTES, BARES Y SIMILARES;Sin Informacion;0,98;1;15/05/2024;13/01/2025;7,94;PLAN AUTO CLASICO;Mensual;0;5.522.453,00;AUTOMOVILES;CHEVROLET;SPARK GT;2.015;NO;31.400.000,00;0;0;CALI;VALLE DEL CAUCA;Particular;3.164.173,24;0;3.164.173,24;1;44.800,00;3.119.373,24;0;0;0;0;0;1D-A0-23-D2
00-67-A2-DF;16-15-04-06;D3-0C-ED-F8;C1-80-4A-E1;05-98-4D-77;38;Adulto Joven;M;Sin Informacion;DOSQUEBRADAS;RISARALDA;CONSTRUCCION;Sin Informacion;1,05;1;19/04/2024;19/04/2024;0;PLAN MOTOS;Mensual;0;674.123,00;MOTO 0- 125 CC;AKT;AK125CR4EIII;2.021;NO;4.800.000,00;0;0;PEREIRA;RISARALDA;Particular;-0,03;0;-0,03;0;0;-0,03;0;0;0;0;1;1D-A0-23-D2
16-66-8A-40;C5-14-BD-21;38-D5-83-07;F5-B5-57-BB;61-98-EA-7D;73;Mayor;M;CASADO(A);BOGOTA D.C.;BOGOTA D.C.;Sin Información;MAS DE 5'000.000;1,13;1;22/03/2024;22/03/2024;0;PLAN AUTO BASICO;Anual;0;429.407,00;AUTOMOVILES;MINI;COOPER;2.016;SI;73.000.000,00;?;0;BOGOTA D.C.;BOGOTA D.C.;Particular;4;0;4;0;0;4;1;0;0;0;0;1D-A0-23-D2
9C-1D-CC-83;A2-6C-AC-7D;24-28-D8-7E;F4-41-79-21;25-AE-F9-DA;55;Adulto;M;Sin Informacion;CHINCHINA;CALDAS;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS AUTOMOTORES, MOTOCICLETAS, EFECTOS PERSONALES Y ENSERES DOMESTICOS COMERCIO, MANTENIMIENTO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, PIEZAS Y ACCESORIOS; COMERCIO AL POR MENOR DE COMBUSTIBLES Y LUBRICANTES PARA VEHICULOS AUTOMOTORES";Sin Informacion;1,26;2;3/02/2024;3/02/2025;12;PLAN MOTOS;Anual;0;684.808,00;MOTO 125 - 250 CC ;YAMAHA;OTRAS;2.025;NO;15.000.000,00;?;0;CHINCHINA;CALDAS;Particular;638.243,96;0;638.243,96;0;0;638.243,96;0;0;0;0;0;1D-A0-23-D2
1D-03-74-24;0E-AF-23-8D;AC-81-98-DB;C9-68-CB-5D;48-30-64-B9;47;Adulto Joven;M;UNION LIBRE;GUARNE;ANTIOQUIA;CONSTRUCCION;Sin Informacion;0,68;1;3/09/2024;3/09/2025;12;PLAN AUTO CLASICO;Semestral;0;4.512.918,00;CAMPEROS Y PICK-UP;MAZDA;BT50;2.010;NO;47.500.000,00;0;0;GUARNE;ANTIOQUIA;Particular;2.537.861,95;0;2.537.861,95;0;0;2.537.861,95;0;0;0;0;1;1D-A0-23-D2
23-19-CF-71;E9-BD-A4-83;96-19-02-C5;AA-BD-CF-D9;E1-6D-B9-33;32;Adulto Joven;M;UNION LIBRE;BARRANQUILLA;ATLANTICO;ACTIVIDADES DE ESPARCIMIENTO Y ACTIVIDADES CULTURALES Y DEPORTIVAS;Sin Informacion;0,89;1;18/06/2024;18/06/2025;12;PLAN MOTOS;Mensual;0;890.241,00;MOTO 125 - 250 CC ;SUZUKI;OTRAS;2.025;NO;12.300.000,00;?;0;BARRANQUILLA;ATLANTICO;Particular;661.766,30;0;661.766,30;0;0;661.766,30;0;0;0;0;0;1D-A0-23-D2
19-11-9F-98;4B-F4-60-C8;E7-51-F6-B9;14-44-F3-79;8F-2A-AF-ED;66;Mayor;F;Sin Informacion;BUCARAMANGA;SANTANDER;Sin Información;Sin Informacion;1,53;1;26/10/2023;26/10/2023;0;PLAN MOTOS;Mensual;0;828.651,00;MOTO 125 - 250 CC ;AUTECO;OTRAS;2.024;NO;6.900.000,00;?;0;BUCARAMANGA;SANTANDER;Particular;0;0;0;0;0;0;0;0;0;0;0;1D-A0-23-D2
F4-76-CA-6F;1E-FD-A5-20;AA-50-DE-4C;C0-C9-19-22;7C-C2-C1-4A;39;Adulto Joven;F;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;Sin Información;Sin Informacion;1,71;1;23/08/2023;24/05/2024;9,03;PLAN MOTOS;Mensual;210.000,00;657.485,00;MOTO 125 - 250 CC ;AUTECO;OTRAS;2.019;NO;6.600.000,00;210.000,00;0;BOGOTA D.C.;BOGOTA D.C.;Particular;408.713,33;0;408.713,33;0;0;408.713,33;0;0;0;0;0;1D-A0-23-D2
33-BE-39-E9;30-66-FA-A6;0C-21-42-72;93-DF-B3-1B;36-29-BB-72;24;Joven;M;Sin Informacion;MEDELLIN;ANTIOQUIA;Sin Información;1'200.001 - 3'000.000;1,91;1;8/06/2023;9/08/2023;2,03;PLAN MOTOS;Mensual;345.000,00;1.137.214,00;MOTO 125 - 250 CC ;SUZUKI;GSX;2.020;NO;9.600.000,00;0;0;MEDELLIN;ANTIOQUIA;Particular;162.327,00;0;162.327,00;0;0;162.327,00;0;0;0;0;0;1D-A0-23-D2
9A-03-35-E7;8C-AC-73-E3;69-13-BE-33;F6-9C-42-C4;F2-B5-C9-E3;46;Adulto Joven;M;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;OTRAS ACTIVIDADES EMPRESARIALES;Sin Informacion;1,55;4;20/10/2023;20/10/2023;0;PLAN AUTO BASICO;Semestral;0;588.175,00;AUTOMOVILES;MITSUBISHI;GALANT;1.994;NO;17.900.000,00;0;0;CHIA;CUNDINAMARCA;Particular;1;0;1;0;0;1;0;0;0;0;1;1D-A0-23-D2
7B-16-FF-37;3C-DF-51-3A;14-77-96-EF;63-5E-18-F8;49-01-F9-9C;70;Mayor;M;CASADO(A);VALLEDUPAR;CESAR;Sin Información;Sin Informacion;0,08;1;8/04/2025;8/04/2026;12;PLAN AUTO GLOBAL;Anual;0;2.995.762,00;AUTOMOVILES;VOLKSWAGEN;OTRAS;2.021;NO;65.700.000,00;0;0;NEIVA;HUILA;Particular;2.517.447,00;0;2.517.447,00;2;1.128.568,00;1.388.879,00;0;0;0;0;0;1D-A0-23-D2
99-5D-4C-BD;BB-08-4C-05;92-9A-6D-89;27-A2-7E-47;3C-0D-70-9A;38;Adulto Joven;F;Sin Informacion;VILLAVICENCIO;META;ACTIVIDADES DE ESPARCIMIENTO Y ACTIVIDADES CULTURALES Y DEPORTIVAS;Sin Informacion;0,9;1;13/06/2024;13/06/2025;12;PLAN MOTOS;Mensual;0;738.739,00;MOTO 125 - 250 CC ;TVS;OTRAS;2.024;NO;12.000.000,00;0;0;SAN MARTIN;META;Particular;549.123,22;3.950,00;545.173,22;1;58.521,00;486.652,22;0;0;0;0;1;1D-A0-23-D2
65-9E-22-5D;A6-4E-D7-37;86-E0-F9-47;9E-70-25-35;D4-9D-8A-4E;27;Joven;M;Sin Informacion;BETULIA;ANTIOQUIA;"COMERCIO AL POR MENOR, EXCEPTO EL COMERCIO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS; REPARACION DE EFECTOS PERSONALES Y ENSERES DOMESTICOS";Sin Informacion;0,73;1;14/08/2024;14/08/2025;12;PLAN MOTOS;Mensual;0;2.041.689,00;MOTO > 250 CC;ROYAL ENFIELD;OTRAS;2.025;NO;18.200.000,00;?;0;MEDELLIN;ANTIOQUIA;Particular;1.230.185,19;0;1.230.185,19;0;0;1.230.185,19;0;0;0;1;1;1D-A0-23-D2
F9-B8-B4-06;BF-50-16-E0;77-46-49-7B;D9-0C-3D-6B;ED-83-CA-F0;25;Joven;M;Sin Informacion;ABEJORRAL;ANTIOQUIA;Sin Información;Sin Informacion;1,49;1;11/11/2023;11/11/2025;24;PLAN MOTOS;Trimestral;0;1.150.603,00;MOTO 125 - 250 CC ;SUZUKI;OTRAS;2.024;NO;11.100.000,00;0;0;BOGOTA D.C.;BOGOTA D.C.;Particular;1.497.290,06;0;1.497.290,06;0;0;1.497.290,06;0;0;0;0;0;1D-A0-23-D2
CB-F3-E6-F0;F3-9D-B9-7C;EA-4D-93-E2;65-FA-77-88;1C-43-37-D3;36;Adulto Joven;F;SOLTERO(A);SOLEDAD;ATLANTICO;ACTIVIDADES DE ESPARCIMIENTO Y ACTIVIDADES CULTURALES Y DEPORTIVAS;Sin Informacion;1,88;1;21/06/2023;21/09/2023;3;PLAN AUTO CLASICO;Mensual;0;3.976.487,00;AUTOMOVILES;KIA;PICANTO;2.022;NO;43.300.000,00;0;0;SOLEDAD;ATLANTICO;Particular;842.264,07;0;842.264,07;4;197.960,00;644.304,07;0;0;0;0;0;1D-A0-23-D2
45-5A-91-5D;36-56-C3-FA;EA-32-27-A9;8E-7C-B7-40;3F-6B-7B-01;66;Mayor;M;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;INTERMEDIACION FINANCIERA INTERMEDIACION FINANCIERA, EXCEPTO LOS SEGUROS Y LOS FONDOS DE PENSIONES Y CESANTIAS;Sin Informacion;1,67;1;5/09/2023;5/09/2024;12;PLAN AUTO GLOBAL;Anual;0;4.225.860,00;CAMPEROS Y PICK-UP;MAZDA;CX5;2.021;NO;129.800.000,00;?;0;BOGOTA D.C.;BOGOTA D.C.;Particular;3.582.225,01;0;3.582.225,01;0;0;3.582.225,01;0;0;0;0;1;1D-A0-23-D2
E6-8F-21-BB;24-1C-03-75;C1-AF-76-55;13-84-CA-D0;5C-35-79-EB;64;Adulto;M;CASADO(A);MEDELLIN;ANTIOQUIA;"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES TRANSPORTE POR VIA TERRESTRE; TRANSPORTE POR TUBERIAS";Sin Informacion;1,27;1;29/01/2024;29/01/2025;12;PLAN AUTO BASICO;Mensual;0;1.345.939,00;AUTOMOVILES;MAZDA;626;1.997;NO;12.200.000,00;?;0;MEDELLIN;ANTIOQUIA;Particular;932.799,12;-2.543.687,00;3.476.486,12;1;169.735,00;3.306.751,12;0;0;0;0;0;1D-A0-23-D2
39-5B-21-96;3F-00-5C-09;5F-AF-AC-3A;E7-4F-9B-20;26-E8-8C-2D;43;Adulto Joven;M;SOLTERO(A);LA ESTRELLA;ANTIOQUIA;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS AUTOMOTORES, MOTOCICLETAS, EFECTOS PERSONALES Y ENSERES DOMESTICOS COMERCIO, MANTENIMIENTO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, PIEZAS Y ACCESORIOS; COMERCIO AL POR MENOR DE COMBUSTIBLES Y LUBRICANTES PARA VEHICULOS AUTOMOTORES";Sin Informacion;0,61;1;28/09/2024;28/09/2025;12;PLAN AUTO CLASICO;Mensual;0;1.464.044,00;AUTOMOVILES;RENAULT;SYMBOL;2.010;NO;22.400.000,00;1.630.000,00;0;BOGOTA D.C.;BOGOTA D.C.;Particular;775.832,14;0;775.832,14;0;0;775.832,14;0;0;0;0;1;1D-A0-23-D2
C7-E0-2D-89;05-AE-5A-C4;A6-16-F2-D0;2E-6B-1D-77;C6-14-CE-19;71;Mayor;F;Sin Informacion;IBAGUE;TOLIMA;"COMERCIO AL POR MENOR, EXCEPTO EL COMERCIO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS; REPARACION DE EFECTOS PERSONALES Y ENSERES DOMESTICOS";Sin Informacion;1,35;1;30/12/2023;30/01/2024;1;PLAN AUTO BASICO;Mensual;0;623.719,00;AUTOMOVILES;CHEVROLET;SPARK GT;2.018;NO;38.000.000,00;?;0;IBAGUE;TOLIMA;Particular;44.517,01;0;44.517,01;0;0;44.517,01;0;1;0;0;0;1D-A0-23-D2
4B-90-9A-F2;7B-2E-7E-52;CE-F9-51-69;6B-77-48-AF;B2-4A-D1-3E;41;Adulto Joven;M;Sin Informacion;ARMENIA;QUINDIO;Sin Información;Sin Informacion;1,71;1;23/08/2023;23/08/2023;0;PLAN MOTOS;Mensual;180.000,00;814.660,00;MOTO 125 - 250 CC ;YAMAHA;OTRAS;2.023;NO;10.000.000,00;180.000,00;0;ARMENIA;QUINDIO;Particular;3;0;3;0;0;3;0;0;0;0;0;1D-A0-23-D2
94-DD-8C-DF;45-84-7E-F2;FE-2D-9E-06;D1-0F-A8-67;75-B1-E0-E3;39;Adulto Joven;F;SOLTERO(A);MELGAR;TOLIMA;CORREO Y TELECOMUNICACIONES;1 - 1'200.000;0,73;1;13/08/2024;13/08/2024;0;PLAN AUTO GLOBAL;Mensual;230.000,00;10.305.861,00;CAMPEROS Y PICK-UP;TOYOTA;PRADO;2.017;NO;212.500.000,00;0;0;MELGAR;TOLIMA;Particular;-2,94;0;-2,94;0;0;-2,94;0;0;0;0;1;1D-A0-23-D2
FE-16-09-BD;E3-B7-97-6E;30-8E-5F-60;A7-12-04-30;53-CF-8F-5B;49;Adulto Joven;M;CASADO(A);BOGOTA D.C.;BOGOTA D.C.;HOGARES PRIVADOS CON SERVICIO DOMESTICO;MAS DE 5'000.000;1,39;2;20/12/2023;20/12/2025;24;PLAN AUTO GLOBAL;Mensual;0;11.167.751,00;CAMPEROS Y PICK-UP;KIA;SPORTAGE;2.024;NO;167.400.000,00;?;0;MEDELLIN;ANTIOQUIA;Particular;14.187.505,63;0;14.187.505,63;0;0;14.187.505,63;1;0;0;0;0;1D-A0-23-D2
