Dni_Aseg_Anonymized;Asegurado_Id_Anonymized;Poliza_Certificado_Id_Anonymized;Numero_Poliza_Anonymized;Placa_Vehiculo_Anonymized;Edad_Cliente;segmento_edad;Sexo_Cd;Estado_Civil_Desc;Ciudad_Cliente;Departamento_Cliente;Sector_Economico_Cliente;Rango_Ingresos_Cliente;Antiguedad_Cliente_En_CanalDD_Anios;Num_Total_Polizas_Cliente_CanalDD;Fecha_Inicio_Primera_Vigencia;Fecha_Fin_Efectiva_Poliza;Vigencia_Total_Poliza_Meses;Subproducto_Desc;Forma_Pago_Desc;Valor_Accesorios_Certificado;Ultima_Prima_Anualizada_Cert;Clase_Vehiculo_Tarifa;Marca_Vehiculo_Calculada;Linea_Vehiculo_Calculada;Modelo_Vehiculo;Gama_Alta_Calculada;Valor_Comercial_Vehiculo;Valor_Accesorios_Vehiculo_Sia;Valor_Accesorio_Especial_Veh;Ciudad_Ubicacion_Vehiculo;Departamento_Ubicacion_Vehiculo;Tipo_Servicio_Vehiculo_Desc;Prima_Total_Devengada_Certificado;Siniestros_Total_Incurridos_Certificado;Margen_Tecnico_Total_Certificado;Num_Total_Asistencias_Certificado;Costo_Total_Asistencias_Certificado;Margen_Bruto_Total_Certificado;Cliente_Tiene_Soat_Activo;Cliente_Tiene_Hogar_Activo;Cliente_Tiene_MasVida_Activo;Cliente_Tiene_Salud_Activo;Cliente_Tiene_Vida_Activo;Nombre_Agente_Anonymized
B3-E6-9C-2F;16-94-C4-65;EA-3E-A7-FA;4E-C5-C3-B4;5B-1C-8A-FB;32;Adulto Joven;M;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;Sin Información;Sin Informacion;1,29;1;24/01/2024;24/01/2026;24;PLAN MOTOS;Mensual;0;1.173.285,00;MOTO 125 - 250 CC ;SUZUKI;OTRAS;2.024;NO;15.000.000,00;0;0;BOGOTA D.C.;BOGOTA D.C.;Particular;1.515.983,37;0;1.515.983,37;0;0;1.515.983,37;0;0;0;0;0;1D-A0-23-D2
B1-F5-6D-ED;75-6E-14-4C;5A-3D-D1-DB;DF-C6-AC-0D;55-F8-D2-66;44;Adulto Joven;M;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;Sin Información;Sin Informacion;1,84;2;3/07/2023;3/04/2024;9;PLAN UTILITARIOS Y PESADOS CLASICO;Mensual;0;4.174.966,00;CAMION MEDIANO;JAC;OTRAS;2.022;SI;88.400.000,00;?;0;BARRANQUILLA;ATLANTICO;Publico especial;2.792.757,25;0;2.792.757,25;0;0;2.792.757,25;0;0;0;0;0;1D-A0-23-D2
D7-24-7D-BD;13-56-4A-87;B6-BB-0E-84;8D-23-D6-C8;D2-89-66-7C;-1;?;-1;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;CONSTRUCCION;Sin Informacion;1,51;1;2/11/2023;22/11/2023;0,65;PLAN AUTO GLOBAL;Mensual;0;4.189.689,00;AUTOMOVILES;CHEVROLET;SAIL;2.018;NO;36.700.000,00;0;0;BOGOTA D.C.;BOGOTA D.C.;Particular;192.915,00;0;192.915,00;0;0;192.915,00;0;0;0;0;0;1D-A0-23-D2
4B-9F-35-F5;2A-4F-7A-A2;11-90-A7-69;65-67-ED-3D;38-3A-8F-DC;26;Joven;F;SOLTERO(A);CALI;VALLE DEL CAUCA;AGRICULTURA, GANADERIA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS;1 - 1'200.000;1,1;1;1/04/2024;1/04/2026;24;PLAN MOTOS;Mensual;0;1.301.990,00;MOTO 125 - 250 CC ;YAMAHA;GPD150ANMAX;2.020;NO;13.100.000,00;0;0;BELLO;ANTIOQUIA;Particular;1.364.309,40;0;1.364.309,40;0;0;1.364.309,40;0;0;0;0;0;1D-A0-23-D2
CC-39-97-CF;FA-7A-CB-42;46-AA-78-F0;67-5D-77-BE;A9-22-E2-96;23;Joven;M;Sin Informacion;MEDELLIN;ANTIOQUIA;Sin Información;Sin Informacion;1,59;1;3/10/2023;3/10/2025;24;PLAN MOTOS;Mensual;0;1.329.184,00;MOTO 125 - 250 CC ;VICTORY;OTRAS;2.023;NO;14.000.000,00;?;0;MEDELLIN;ANTIOQUIA;Particular;1.940.297,55;0;1.940.297,55;2;64.154,00;1.876.143,55;0;0;0;0;1;1D-A0-23-D2
E9-50-91-19;B2-74-74-28;84-C5-EF-93;9E-53-BF-D3;90-2D-AB-B3;39;Adulto Joven;M;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;Sin Información;Sin Informacion;1,26;1;3/02/2024;3/02/2026;24;PLAN AUTO CLASICO;Anual;217.396,00;1.832.070,00;CAMPEROS Y PICK-UP;MAZDA;CX;2.017;NO;88.000.000,00;230.000,00;0;BOGOTA D.C.;BOGOTA D.C.;Particular;4.264.860,95;0;4.264.860,95;0;0;4.264.860,95;0;0;0;0;1;1D-A0-23-D2
26-6A-F2-0D;2A-B8-05-C2;5E-BC-E5-39;26-F3-6D-74;69-A5-0D-D6;27;Joven;M;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;INFORMATICA Y ACTIVIDADES CONEXAS;Sin Informacion;1,91;1;10/06/2023;10/08/2023;2;PLAN AUTO CLASICO;Mensual;0;1.109.130,00;AUTOMOVILES;CHEVROLET;SAIL;2.016;NO;34.600.000,00;0;0;BOGOTA D.C.;BOGOTA D.C.;Particular;155.770,00;0;155.770,00;0;0;155.770,00;0;0;0;1;1;1D-A0-23-D2
E8-E9-BC-8E;BC-C6-8F-C7;04-9D-A2-48;93-88-02-67;F2-A7-91-8D;62;Adulto;F;CASADO(A);BUCARAMANGA;SANTANDER;"CURTIDO Y PREPARADO DE CUEROS; FABRICACION DE CALZADO; FABRICACION DE ARTICULOS DE VIAJE, MALETAS, BOLSOS DE MANO Y SIMILARES; ARTICULOS DE TALABARTERIA Y GUARNICIONERIA";Sin Informacion;0,35;1;30/12/2024;30/12/2025;12;PLAN AUTO GLOBAL;Mensual;230.000,00;3.121.610,00;CAMPEROS Y PICK-UP;HYUNDAI;TUCSON;2.016;NO;63.900.000,00;230.000,00;0;BUCARAMANGA;SANTANDER;Particular;998.153,96;0;998.153,96;0;0;998.153,96;0;0;0;0;0;1D-A0-23-D2
60-5E-63-F2;D2-CB-E1-B4;BD-80-96-19;4B-31-B7-22;93-64-28-76;38;Adulto Joven;M;UNION LIBRE;MEDELLIN;ANTIOQUIA;Sin Información;Sin Informacion;1,39;1;18/12/2023;18/06/2024;6;PLAN AUTO BASICO;Mensual;0;1.207.837,00;AUTOMOVILES;KIA;CERATO;2.012;NO;44.000.000,00;0;0;MEDELLIN;ANTIOQUIA;Particular;506.105,03;0;506.105,03;1;28.280,00;477.825,03;0;0;0;0;0;1D-A0-23-D2
DE-20-7B-54;F9-DF-38-6F;47-6C-55-66;87-94-B9-70;84-BC-CA-36;22;Joven;F;SOLTERO(A);SABANETA;ANTIOQUIA;INFORMATICA Y ACTIVIDADES CONEXAS;Sin Informacion;0,91;1;8/06/2024;8/02/2025;8;PLAN MOTOS;Mensual;0;1.623.743,00;MOTO 125 - 250 CC ;YAMAHA;GPD150NMAX;2.019;NO;12.100.000,00;0;0;MEDELLIN;ANTIOQUIA;Particular;915.891,21;0;915.891,21;1;72.305,00;843.586,21;1;0;0;0;0;1D-A0-23-D2
1E-94-A2-71;CE-B4-D0-F3;7B-F1-0F-83;80-63-0C-88;F7-5B-6B-F8;47;Adulto Joven;F;SOLTERO(A);CALI;VALLE DEL CAUCA;"COMERCIO AL POR MENOR, EXCEPTO EL COMERCIO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS; REPARACION DE EFECTOS PERSONALES Y ENSERES DOMESTICOS";1'200.001 - 3'000.000;3,45;3;20/09/2023;24/10/2023;1,13;PLAN AUTO GLOBAL;Mensual;230.000,00;4.623.201,00;AUTOMOVILES;RENAULT;KWID OUTSIDER MT 1000CC 12V;2.021;NO;40.700.000,00;230.000,00;0;CALI;VALLE DEL CAUCA;Particular;361.897,01;-1.207.963,00;1.569.860,01;2;158.368,00;1.411.492,01;0;0;0;0;0;1D-A0-23-D2
02-98-6A-12;BE-5E-E3-BB;CD-88-42-6F;57-03-8B-3F;86-45-F9-E7;37;Adulto Joven;F;SOLTERO(A);BOGOTA D.C.;BOGOTA D.C.;Sin Información;Sin Informacion;1,69;1;28/08/2023;28/08/2023;0;PLAN AUTO CLASICO;Mensual;0;3.652.096,00;AUTOMOVILES;RENAULT;OTRAS;2.024;NO;57.200.000,00;?;0;BOGOTA D.C.;BOGOTA D.C.;Particular;0,99;0;0,99;0;0;0,99;0;0;0;0;0;1D-A0-23-D2
CD-7C-C8-B7;DF-8A-43-C1;81-25-93-74;A3-28-39-67;0D-F1-C9-C4;-1;?;-1;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;Sin Información;Sin Informacion;1,48;1;15/11/2023;15/11/2023;0;PLAN MOTOS;Trimestral;764.000,00;1.492.087,00;MOTO 125 - 250 CC ;TVS;APACHERTR2004VXCONNECT;2.023;NO;9.600.000,00;0;0;BOGOTA D.C.;BOGOTA D.C.;Particular;2;0;2;0;0;2;1;0;0;0;0;1D-A0-23-D2
1B-35-D3-9A;B6-65-AE-C0;EF-CB-3D-E5;8B-3C-D4-02;A6-BE-4C-4A;62;Adulto;M;Sin Informacion;MEDELLIN;ANTIOQUIA;Sin Información;Sin Informacion;1,17;1;6/03/2024;6/05/2024;2;Plan Autos Básico Pérdidas Totales;Mensual;0;2.670.412,00;AUTOMOVILES;CHEVROLET;SPARK GT;2.013;NO;28.700.000,00;2.000.000,00;0;MEDELLIN;ANTIOQUIA;Particular;375.035,03;0;375.035,03;0;0;375.035,03;0;0;0;0;0;1D-A0-23-D2
2D-A0-0D-40;DD-42-06-2F;20-AB-09-D0;4E-36-4B-9C;CE-D3-E6-C6;32;Adulto Joven;F;Sin Informacion;ALTO CORINTO;CALDAS;Sin Información;Sin Informacion;0,1;1;31/03/2025;31/03/2026;12;PLAN AUTO CLASICO;Mensual;0;3.490.463,00;AUTOMOVILES;VOLKSWAGEN;OTRAS;2.021;NO;46.700.000,00;?;0;MANIZALES;CALDAS;Particular;391.825,05;0;391.825,05;0;0;391.825,05;0;0;0;0;0;1D-A0-23-D2
D5-29-93-F6;02-37-47-33;1D-D6-15-AF;5C-FE-DB-78;3C-D3-30-61;39;Adulto Joven;M;CASADO(A);CALDAS;ANTIOQUIA;"COMERCIO AL POR MENOR, EXCEPTO EL COMERCIO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS; REPARACION DE EFECTOS PERSONALES Y ENSERES DOMESTICOS";Sin Informacion;1,46;1;23/11/2023;23/11/2025;24;PLAN UTILITARIOS Y PESADOS CLASICO;Mensual;0;6.569.382,00;CAMION MEDIANO;CHEVROLET;NHR;2.016;NO;66.900.000,00;0;0;MEDELLIN;ANTIOQUIA;Publico especial;7.499.954,49;-3.729.230,00;11.229.184,49;1;178.561,00;11.050.623,49;0;0;0;1;1;1D-A0-23-D2
3C-A5-CB-BA;53-73-34-B1;FF-AE-BE-BE;8D-46-4D-99;B4-C5-17-BE;58;Adulto;M;Sin Informacion;CALI;VALLE DEL CAUCA;Sin Información;Sin Informacion;1,61;2;29/09/2023;29/11/2023;2;PLAN MOTOS;Mensual;0;647.837,00;MOTO 0- 125 CC;HERO;ECO;2.023;NO;4.400.000,00;0;0;CALI;VALLE DEL CAUCA;Particular;90.982,09;0;90.982,09;0;0;90.982,09;0;0;0;0;0;1D-A0-23-D2
24-04-B5-BD;CE-C4-DF-EE;8A-17-93-7E;40-BC-4F-1C;2B-1D-A3-A2;23;Joven;F;Sin Informacion;MEDELLIN;ANTIOQUIA;FABRICACION DE PRODUCTOS DE CAUCHO Y DE PLASTICO;1 - 1'200.000;0,24;1;10/02/2025;10/02/2026;12;PLAN MOTOS;Anual;410.000,00;958.926,00;MOTO 0- 125 CC;AKT;AK125CR4EIII;2.023;NO;4.900.000,00;410.000,00;0;MEDELLIN;ANTIOQUIA;Particular;261.468,92;0;261.468,92;0;0;261.468,92;0;0;0;0;0;1D-A0-23-D2
74-37-2C-B9;90-96-61-8D;4A-E0-4D-9B;0C-C7-C9-92;1C-AC-06-D7;27;Joven;F;Sin Informacion;POPAYAN;CAUCA;SERVICIOS SOCIALES Y DE SALUD;Sin Informacion;0,76;1;5/08/2024;4/11/2024;2,97;PLAN MOTOS;Mensual;0;1.111.462,00;MOTO 125 - 250 CC ;YAMAHA;OTRAS;2.024;NO;12.900.000,00;0;0;POPAYAN;CAUCA;Particular;232.862,29;0;232.862,29;0;0;232.862,29;0;0;0;0;0;1D-A0-23-D2
D7-7D-24-80;48-03-18-AF;02-E0-59-25;16-32-8F-52;40-42-BD-0B;31;Joven;F;SOLTERO(A);CALI;VALLE DEL CAUCA;ACTIVIDADES AUXILIARES DE LA INTERMEDIACION FINANCIERA;Sin Informacion;1,17;1;6/03/2024;6/03/2024;0;PLAN MOTOS;Trimestral;0;1.002.243,00;MOTO 0- 125 CC;YAMAHA;CRYPTON;2.025;NO;8.400.000,00;?;0;CALI;VALLE DEL CAUCA;Particular;0;0;0;0;0;0;0;0;0;0;0;1D-A0-23-D2
43-82-56-DB;41-AB-C0-36;35-91-FA-AD;8C-CF-FC-54;3D-AC-38-F5;44;Adulto Joven;M;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;Sin Información;Sin Informacion;0,41;1;10/12/2024;10/12/2025;12;PLAN AUTO GLOBAL;Semestral;0;3.346.718,00;CAMPEROS Y PICK-UP;KIA;OTRAS;2.025;NO;80.900.000,00;?;0;BOGOTA D.C.;BOGOTA D.C.;Particular;981.814,91;0;981.814,91;0;0;981.814,91;0;0;0;0;0;1D-A0-23-D2
3C-29-55-5D;59-DC-51-B6;C4-5A-BF-DE;46-51-F4-D4;F2-12-F5-8F;20;Joven;M;Sin Informacion;PEREIRA;RISARALDA;Sin Información;Sin Informacion;0,1;1;2/04/2025;2/04/2026;12;PLAN MOTOS;Mensual;0;837.915,00;MOTO 125 - 250 CC ;BAJAJ;PULSAR150NEON;2.022;NO;7.600.000,00;?;0;PEREIRA;RISARALDA;Particular;117.356,00;0;117.356,00;0;0;117.356,00;0;0;0;0;0;1D-A0-23-D2
BF-08-D0-44;1E-ED-3A-36;40-4F-BC-7E;C3-B0-6B-FA;1E-73-C6-1A;73;Mayor;M;Sin Informacion;MEDELLIN;ANTIOQUIA;Sin Información;Sin Informacion;1,92;1;6/06/2023;6/09/2023;3;PLAN AUTO CLASICO;Mensual;5.280.000,00;4.333.176,00;CAMPEROS Y PICK-UP;FORD;ESCAPE;2.013;NO;52.800.000,00;0;?;CARTAGENA;BOLIVAR;Particular;917.814,05;-7.907.640,00;8.825.454,05;4;250.939,00;8.574.515,05;0;0;0;0;0;1D-A0-23-D2
9A-30-B9-EF;D9-54-48-5E;71-2A-92-51;F3-AD-82-BB;08-E5-4F-EE;28;Joven;F;SOLTERO(A);ITAGUI;ANTIOQUIA;"ADMINISTRACION PUBLICA Y DEFENSA; SEGURIDAD SOCIAL DE AFILIACION OBLIGAT ORIA";Sin Informacion;1,35;1;30/12/2023;30/12/2023;0;Plan Autos Básico Pérdidas Totales;Mensual;230.000,00;3.295.112,00;AUTOMOVILES;CHEVROLET;CRUZE;2.012;NO;32.000.000,00;230.000,00;0;ITAGUI;ANTIOQUIA;Particular;0,98;0;0,98;0;0;0,98;0;0;0;0;0;1D-A0-23-D2
B5-46-03-EA;EA-66-C2-1D;6B-6E-70-AE;C5-CC-F0-86;C9-B5-60-66;28;Joven;M;Sin Informacion;IBAGUE;TOLIMA;Sin Información;Sin Informacion;0,86;1;29/06/2024;29/10/2024;4;PLAN MOTOS;Mensual;0;729.383,00;MOTO 125 - 250 CC ;SUZUKI;OTRAS;2.025;NO;10.800.000,00;?;0;IBAGUE;TOLIMA;Particular;202.079,60;0;202.079,60;0;0;202.079,60;0;0;0;0;0;1D-A0-23-D2
18-4F-BB-9A;8D-07-63-E3;43-F9-DF-9C;97-58-59-FD;63-F9-2C-75;37;Adulto Joven;M;UNION LIBRE;LA SIRIA;QUINDIO;Sin Información;Sin Informacion;1,2;1;26/02/2024;26/02/2025;12;PLAN MOTOS;Trimestral;0;610.726,00;MOTO 125 - 250 CC ;AKT;AK200CR3EIII;2.024;NO;7.600.000,00;0;0;ARMENIA;QUINDIO;Particular;472.193,00;0;472.193,00;0;0;472.193,00;0;0;0;0;1;1D-A0-23-D2
B6-7A-27-FD;3C-48-E8-1D;38-FF-12-41;F6-D4-A8-53;30-04-C4-F0;63;Adulto;F;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;Sin Información;Sin Informacion;0,1;1;31/03/2025;31/03/2026;12;PLAN AUTO GLOBAL;Mensual;0;2.578.619,00;AUTOMOVILES;RENAULT;LOGAN;2.017;NO;35.800.000,00;0;0;BOGOTA D.C.;BOGOTA D.C.;Particular;286.421,09;0;286.421,09;0;0;286.421,09;0;0;0;0;1;1D-A0-23-D2
C7-D3-46-07;D1-40-9E-02;6B-13-2D-58;9F-9E-06-E5;FC-28-95-B2;36;Adulto Joven;F;Sin Informacion;SABANETA;ANTIOQUIA;OTRAS ACTIVIDADES EMPRESARIALES;Sin Informacion;1,95;1;27/05/2023;27/05/2023;0;PLAN MOTOS;Mensual;0;1.175.082,00;MOTO 125 - 250 CC ;VICTORY;OTRAS;2.023;NO;11.000.000,00;?;0;SABANETA;ANTIOQUIA;Particular;-0,05;0;-0,05;0;0;-0,05;0;0;0;0;0;1D-A0-23-D2
0D-4A-67-E5;61-2B-17-58;0F-CB-C6-6F;73-6C-30-13;06-1E-6F-4E;43;Adulto Joven;M;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;Sin Información;Sin Informacion;0,62;1;25/09/2024;25/09/2025;12;PLAN AUTO GLOBAL;Anual;430.000,00;2.145.044,00;AUTOMOVILES;FORD;FIESTA;2.011;NO;27.000.000,00;430.000,00;0;BOGOTA D.C.;BOGOTA D.C.;Particular;1.119.087,92;0;1.119.087,92;0;0;1.119.087,92;1;0;0;0;0;1D-A0-23-D2
8A-81-E6-92;41-08-54-31;B6-97-F1-1F;EF-13-B3-D4;4D-41-3C-D9;65;Mayor;M;CASADO(A);LA CEJA;ANTIOQUIA;AGRICULTURA, GANADERIA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS;Sin Informacion;1,69;2;31/08/2023;31/08/2023;0;PLAN MOTOS;Mensual;0;1.653.294,00;MOTO 125 - 250 CC ;YAMAHA;OTRAS;2.024;NO;12.900.000,00;290.000,00;0;LA CEJA;ANTIOQUIA;Particular;1;0;1;0;0;1;0;0;0;0;0;1D-A0-23-D2
56-77-22-B3;EF-C9-00-13;CF-D8-55-69;73-78-7E-AF;DE-87-0C-11;34;Adulto Joven;M;Sin Informacion;SABANALARGA;ATLANTICO;"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES TRANSPORTE POR VIA TERRESTRE; TRANSPORTE POR TUBERIAS";Sin Informacion;1,74;1;11/08/2023;11/09/2023;1;PLAN MOTOS;Mensual;0;783.375,00;MOTO 125 - 250 CC ;YAMAHA;OTRAS;2.024;NO;12.900.000,00;?;0;SABANALARGA;ATLANTICO;Particular;55.907,00;0;55.907,00;0;0;55.907,00;0;0;0;0;1;1D-A0-23-D2
5E-45-F8-8C;E6-32-60-33;8B-F7-9D-AA;04-59-90-EE;04-1A-87-9B;62;Adulto;F;CASADO(A);MEDELLIN;ANTIOQUIA;Sin Información;Sin Informacion;1,5;1;8/11/2023;8/11/2025;24;PLAN MOTOS;Mensual;0;946.001,00;MOTO 125 - 250 CC ;YAMAHA;OTRAS;2.022;NO;15.200.000,00;?;?;MEDELLIN;ANTIOQUIA;Particular;1.372.572,23;0;1.372.572,23;0;0;1.372.572,23;0;0;0;0;0;1D-A0-23-D2
C4-4F-7B-33;57-7F-C5-29;53-7C-B1-8F;63-1E-64-F2;39-DD-57-AA;34;Adulto Joven;M;Sin Informacion;BARRANQUILLA;ATLANTICO;EDUCACION;1'200.001 - 3'000.000;1,59;1;3/10/2023;3/11/2023;1;PLAN MOTOS;Mensual;0;813.728,00;MOTO 125 - 250 CC ;AKT;AK200TTREIII;2.023;NO;8.000.000,00;0;0;BARRANQUILLA;ATLANTICO;Particular;58.077,03;0;58.077,03;0;0;58.077,03;0;0;0;0;0;1D-A0-23-D2
99-70-9C-2F;34-71-DC-95;26-22-3F-D4;3A-77-B1-33;82-13-EE-C8;-1;?;-1;Sin Informacion;CAJICA;CUNDINAMARCA;Sin Información;Sin Informacion;1,59;1;4/10/2023;4/10/2023;0;PLAN AUTO CLASICO;Anual;0;7.690.727,00;CAMPEROS Y PICK-UP;TOYOTA;FORTUNER;2.011;NO;96.300.000,00;?;0;CAJICA;CUNDINAMARCA;Particular;-4;0;-4;0;0;-4;0;0;0;0;0;1D-A0-23-D2
69-F5-04-5F;D1-6A-63-B6;7F-D2-32-FF;58-EE-3A-60;C3-C5-AD-C5;26;Joven;M;Sin Informacion;PALMIRA;VALLE DEL CAUCA;Sin Información;Sin Informacion;0,1;1;1/04/2025;1/04/2026;12;PLAN MOTOS;Mensual;0;1.086.019,00;MOTO 125 - 250 CC ;TVS;APACHERTR1604VXCONNECT;2.024;NO;8.000.000,00;0;0;PALMIRA;VALLE DEL CAUCA;Particular;152.104,00;0;152.104,00;0;0;152.104,00;0;0;0;0;0;1D-A0-23-D2
C9-97-0E-35;E5-5E-8B-C2;90-F8-D6-B3;D2-93-A3-0F;9F-E5-49-3B;20;Joven;F;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;Sin Información;Sin Informacion;1,32;1;12/01/2024;12/01/2026;24;PLAN MOTOS;Trimestral;0;1.115.918,00;MOTO 125 - 250 CC ;SUZUKI;GIXXERFIABS;2.024;NO;11.200.000,00;0;0;BOGOTA D.C.;BOGOTA D.C.;Particular;1.513.387,07;0;1.513.387,07;0;0;1.513.387,07;1;0;0;0;0;1D-A0-23-D2
8E-8F-84-E0;23-11-6C-D9;63-63-65-87;22-63-DB-1F;D8-C1-DC-07;43;Adulto Joven;M;UNION LIBRE;SAN PEDRO;ANTIOQUIA;Sin Información;Sin Informacion;1,19;1;28/02/2024;29/04/2024;2,03;PLAN MOTOS;Mensual;0;1.064.479,00;MOTO 0- 125 CC;BAJAJ;CT100KSSPOKE;2.023;NO;4.600.000,00;0;0;SAN PEDRO;ANTIOQUIA;Particular;147.044,98;0;147.044,98;0;0;147.044,98;0;0;0;0;1;1D-A0-23-D2
63-05-1F-E9;AF-BA-91-BC;07-8C-C0-1A;B6-F1-B5-FA;32-FF-E8-97;32;Adulto Joven;M;Sin Informacion;MEDELLIN;ANTIOQUIA;Sin Información;Sin Informacion;0,39;1;18/12/2024;18/12/2025;12;PLAN MOTOS;Mensual;0;1.165.659,00;MOTO 125 - 250 CC ;YAMAHA;OTRAS;2.020;NO;13.100.000,00;0;0;MEDELLIN;ANTIOQUIA;Particular;376.214,11;0;376.214,11;0;0;376.214,11;0;0;0;1;1;1D-A0-23-D2
43-1A-E4-72;C2-52-48-7B;B0-E6-0E-B1;F8-CE-4B-85;10-69-30-FF;39;Adulto Joven;M;SOLTERO(A);MEDELLIN;ANTIOQUIA;Sin Información;1 - 1'200.000;1,78;1;26/07/2023;26/05/2024;10;PLAN AUTO CLASICO;Mensual;0;2.558.223,00;AUTOMOVILES;RENAULT;SANDERO;2.020;NO;44.400.000,00;?;0;MEDELLIN;ANTIOQUIA;Particular;1.790.570,15;0;1.790.570,15;1;501.306,00;1.289.264,15;0;0;0;0;1;1D-A0-23-D2
9F-57-BE-FE;CB-6E-84-FF;7D-C9-8F-DC;91-AF-82-50;CE-13-9A-75;32;Adulto Joven;M;SOLTERO(A);BOGOTA D.C.;BOGOTA D.C.;Sin Información;Sin Informacion;1,4;1;12/12/2023;12/12/2024;12;PLAN MOTOS;Mensual;0;854.193,00;MOTO 125 - 250 CC ;BAJAJ;BAJAJ;2.019;NO;8.500.000,00;0;0;BOGOTA D.C.;BOGOTA D.C.;Particular;603.810,42;0;603.810,42;0;0;603.810,42;0;0;0;0;0;1D-A0-23-D2
13-02-50-27;52-F6-B3-00;39-3A-F9-AE;A5-B4-E3-8F;29-C0-74-E0;42;Adulto Joven;M;SOLTERO(A);BARRANQUILLA;ATLANTICO;Sin Información;Sin Informacion;1,58;1;9/10/2023;9/10/2025;24;PLAN AUTO CLASICO;Mensual;0;4.202.847,00;CAMPEROS Y PICK-UP;FORD;ESCAPE;2.017;NO;70.400.000,00;?;0;BARRANQUILLA;ATLANTICO;Particular;4.135.079,14;0;4.135.079,14;2;147.609,00;3.987.470,14;1;0;0;0;1;1D-A0-23-D2
8B-10-09-C5;49-C7-12-BC;46-BD-0A-7A;74-F7-C6-36;AF-AF-B7-C6;-1;?;-1;Sin Informacion;ABEJORRAL;ANTIOQUIA;Sin Información;Sin Informacion;1,18;2;2/03/2024;2/06/2024;3;PLAN AUTO GLOBAL;Trimestral;0;7.965.163,00;CAMPEROS Y PICK-UP;TOYOTA;COROLLACROSS;2.023;NO;161.900.000,00;?;0;MEDELLIN;ANTIOQUIA;Particular;1.687.107,04;0;1.687.107,04;0;0;1.687.107,04;1;0;0;0;0;1D-A0-23-D2
40-07-9E-47;E2-BB-B7-63;E6-36-F5-AE;00-58-C4-2A;B5-08-D8-10;58;Adulto;M;SEPARADO(A);MEDELLIN;ANTIOQUIA;AGRICULTURA, GANADERIA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS;Sin Informacion;0,52;1;31/10/2024;31/10/2024;0;PLAN AUTO GLOBAL;Mensual;3.450.000,00;7.401.225,00;AUTOMOVILES;BMW;300;2.015;SI;81.800.000,00;3.450.000,00;0;MEDELLIN;ANTIOQUIA;Particular;1,99;0;1,99;0;0;1,99;0;0;0;1;1;1D-A0-23-D2
18-D8-2A-EA;97-CA-40-FA;45-36-E7-34;E7-9A-60-FD;62-1D-B3-79;28;Joven;F;Sin Informacion;POPAYAN;CAUCA;Sin Información;Sin Informacion;1,07;1;11/04/2024;11/04/2026;24;PLAN MOTOS;Mensual;207.039,00;876.619,00;MOTO 0- 125 CC;AKT;OTRAS;2.025;NO;7.000.000,00;210.000,00;0;POPAYAN;CAUCA;Particular;851.449,20;0;851.449,20;0;0;851.449,20;0;0;0;0;0;1D-A0-23-D2
F8-2E-B0-7F;07-2E-87-EF;76-E1-9B-3F;DF-C9-7C-AD;88-C8-12-9B;29;Joven;F;Sin Informacion;BARRANQUILLA;ATLANTICO;FABRICACION DE PRODUCTOS TEXTILES;Sin Informacion;0,41;1;11/12/2024;11/12/2025;12;PLAN MOTOS;Mensual;0;761.602,00;MOTO 0- 125 CC;AKT;AK;2.024;NO;5.200.000,00;0;0;BARRANQUILLA;ATLANTICO;Particular;245.697,09;0;245.697,09;0;0;245.697,09;0;0;0;0;1;1D-A0-23-D2
0C-34-BE-AB;7A-4C-36-FE;13-F7-68-D8;B1-60-DB-F8;83-68-06-FA;32;Adulto Joven;M;Sin Informacion;MANIZALES;CALDAS;SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AGUA CALIENTE;Sin Informacion;1,61;2;29/09/2023;30/07/2024;10,03;Plan Autos Básico Pérdidas Totales;Mensual;0;2.062.476,00;AUTOMOVILES;CHEVROLET;AVEO;2.009;NO;21.800.000,00;1.030.000,00;0;MANIZALES;CALDAS;Particular;951.263,24;0;951.263,24;0;0;951.263,24;0;0;0;0;1;1D-A0-23-D2
